Strain,Condition,Rep,dP_patch,dT_patch,Ratio,Width
Ctr,A,1,53.487184,nan,0.236473,120.79147
Pu,B,1,7.5822561,9.8332996,0.415781,134.28057
Tp,C,1,14.930102,11.936463,0.557107,12.535128
Pu Tp,D,1,nan,13.316837,0.577874,260.26207
Pp,E,1,nan,118.81379,0.109514,859.9831
Pp Pu,F,1,173.52193,123.06597,0.286427,852.35681
Pp Tp,G,1,107.50113,96.755014,0.352019,957.62209
Pu Pp Tp,H,1,137.00287,115.18193,0.326971,870.74764
Ctr + aa,AA,1,134.41729,156.27708,0.452029,1269.0882
Ctr,A,2,48.315732,9.0730123,0.2614,157.89804
Pu,B,2,nan,nan,0.378937,169.97864
Tp,C,2,37.233212,7.9932149,0.53022,0.1705891
Pu Tp,D,2,4.9966211,42.003013,0.564252,244.71146
Pp,E,2,229.18581,155.66888,0.235976,822.01748
Pp Pu,F,2,148.21356,121.55626,0.300105,864.74956
Pp Tp,G,2,86.589215,79.437685,0.414898,850.25548
Pu Pp Tp,H,2,144.41571,nan,0.355461,792.82787
Ctr + aa,AA,2,162.60978,169.49446,0.441334,1145.5066
Ctr,A,3,60.919233,10.704873,0.215471,73.479304
Pu,B,3,19.890534,8.714852,0.339829,280.87768
Tp,C,3,6.0726343,7.4638492,0.582031,-18.34954
Pu Tp,D,3,4.9985609,26.724082,nan,390.61769
Pp,E,3,213.79401,120.96394,0.133459,770.56013
Pp Pu,F,3,114.7435,105.1637,0.34035,807.16121
Pp Tp,G,3,117.74604,100.57042,0.26472,801.31437
Pu Pp Tp,H,3,149.44525,111.12439,0.363985,855.99094
Ctr + aa,AA,3,130.72306,136.30159,0.477421,1099.358
Ctr,A,4,33.009336,14.619061,0.231189,73.070673
Pu,B,4,7.1821045,9.1208293,0.398832,195.4366
Tp,C,4,6.8551432,8.399742,0.568736,6.8809618
Pu Tp,D,4,nan,17.481454,0.572441,275.48501
Pp,E,4,225.81092,98.721001,0.132233,735.70695
Pp Pu,F,4,277.53131,nan,0.247946,927.44513
Pp Tp,G,4,140.17393,121.38771,0.224183,841.75951
Pu Pp Tp,H,4,129.87332,110.84941,0.220544,894.93829
Ctr + aa,AA,4,nan,nan,0.447475,1122.4268
Ctr,A,5,77.801935,11.324791,0.247042,103.48498
Pu,B,5,nan,10.642807,0.413218,131.13226
Tp,C,5,22.784427,7.136186,0.531583,29.118375
Pu Tp,D,5,5.0763912,16.342721,0.575827,295.94457
Pp,E,5,224.00801,120.01422,0.153369,828.15242
Pp Pu,F,5,133.17412,121.88124,0.350564,810.03974
Pp Tp,G,5,nan,114.75132,0.401839,818.36276
Pu Pp Tp,H,5,123.54509,113.77234,0.325994,952.67126
Ctr + aa,AA,5,137.98626,143.65412,0.425445,1298.4455
Ctr,A,6,44.152679,10.731695,0.252061,70.411315
Pu,B,6,7.4893428,7.8775116,0.390742,83.920815
Tp,C,6,25.604131,nan,0.574533,-33.29883
Pu Tp,D,6,5.0706627,20.891641,0.571406,322.31734
Pp,E,6,244.3321,88.651096,0.206405,806.46931
Pp Pu,F,6,209.71292,129.30973,0.277649,864.09779
Pp Tp,G,6,131.62288,120.48228,0.349768,809.51084
Pu Pp Tp,H,6,nan,nan,0.257539,871.00741
Ctr + aa,AA,6,176.29464,147.16381,0.504795,1199.6869